Change Component Description : Designator=C12 Old Description=CAP 1uF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 1uF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C16 Old Description=CAP 1uF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 1uF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C24 Old Description=CAP 1uF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 1uF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C2 Old Description=CAP 10nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 10nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C10 Old Description=CAP 10uF 16V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 10uF 16V °¿10% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C11 Old Description=CAP 10uF 16V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 10uF 16V °¿10% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C13 Old Description=CAP 18pF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 18pF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C14 Old Description=CAP 18pF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 18pF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C17 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C18 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C19 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C20 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C21 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C5 Old Description=CAP 47pF 16V ?.5pF 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 47pF 16V °¿0.5pF 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C6 Old Description=CAP 47pF 16V ?.5pF 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 47pF 16V °¿0.5pF 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C27 Old Description=CAP 100nF 6.3V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 6.3V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C28 Old Description=CAP 100nF 6.3V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 6.3V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C29 Old Description=CAP 100nF 6.3V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 6.3V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C1 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C3 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C7 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C15 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C22 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C23 Old Description=CAP 820pF 10V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 820pF 10V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=L2 Old Description=SMD Flat Wire High Current Inductor WE-HCI, L=1.00 µH New Description=SMD Flat Wire High Current Inductor WE-HCI, L=1.00 ¶ÃH
Change component parameters: Designator = "J1" ("J1"); Footprint = "HIRO-ZX62R-B-5P_V"; UniqueID = "\YKKZDFBE" ("\YKKZDFBE")
Change component parameters: Designator = "C18" ("C18"); Footprint = "CAPC0805(2012)145_N"; UniqueID = "\BKQCUZOO\OMLNGVLU" ("\BKQCUZOO\OMLNGVLU")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1.45 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "10 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "22uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C19" ("C19"); Footprint = "CAPC0805(2012)145_N"; UniqueID = "\BKQCUZOO\QXBFLMVH" ("\BKQCUZOO\QXBFLMVH")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1.45 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "10 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "22uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C20" ("C20"); Footprint = "CAPC0805(2012)145_N"; UniqueID = "\BKQCUZOO\ZYLZDPFP" ("\BKQCUZOO\ZYLZDPFP")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1.45 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "10 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "22uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C21" ("C21"); Footprint = "CAPC0805(2012)145_N"; UniqueID = "\BKQCUZOO\RATVUNMM" ("\BKQCUZOO\RATVUNMM")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1.45 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "10 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "22uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C22" ("C22"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\BKQCUZOO\VTUQBYWY" ("\BKQCUZOO\VTUQBYWY")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C23" ("C23"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\BKQCUZOO\QBCIGTBA" ("\BKQCUZOO\QBCIGTBA")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "10 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "820pF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C24" ("C24"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\KBTSWSPF\JGIKPPDC" ("\KBTSWSPF\JGIKPPDC")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C27" ("C27"); Footprint = "CAPC0603(1608)100_M"; UniqueID = "\IORXISXU\RPSBBLNE" ("\IORXISXU\RPSBBLNE")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "6.3 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C28" ("C28"); Footprint = "CAPC0603(1608)100_M"; UniqueID = "\IORXISXU\RYFIOEAS" ("\IORXISXU\RYFIOEAS")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "6.3 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C29" ("C29"); Footprint = "CAPC0603(1608)100_M"; UniqueID = "\WIPOBIBF\XFOPMOPB" ("\WIPOBIBF\XFOPMOPB")
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "6.3 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "?°¿5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C8" ("C8"); Footprint = "FP-GRJ155-0_2-MFG"; UniqueID = "\POOAIPVP\NVCPZOYE" ("\POOAIPVP\NVCPZOYE")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Soft Termination"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.039inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.028inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "6.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.02inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "C9" ("C9"); Footprint = "FP-GRM21B-0_2-e0_2_0_7-IPC_B"; UniqueID = "\POOAIPVP\OPERRKJK" ("\POOAIPVP\OPERRKJK")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "22uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7T"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.079inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.057inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "6.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "6.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0.000335oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "C30" ("C30"); Footprint = "CAPC2013X95X50LL10T25"; UniqueID = "\PRRFXLYG\LQAFCXQI" ("\PRRFXLYG\LQAFCXQI")
Change component parameters (AddParameter): Name = "Applications"; Value = "GeneralPurpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10¶ÃF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Catalog Drawings"; Value = "xMKSeries_0805_0.85"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "09/2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "CeramicCapacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.t-yuden.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount,MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Online Catalog"; Value = "MSeries"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°„C~85°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Other Names"; Value = "587-1304-6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805(2012Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Digi-Reel?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCN Part Number"; Value = "X5R,X7RDielectrics23/Jan/2008"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.079"Lx0.049"W(2.00mmx1.25mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standard Package"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness (Max)"; Value = "0.037"(0.95mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "°¿10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "6.3V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C31" ("C31"); Footprint = "CAPC2013X95X50LL10T25"; UniqueID = "\PRRFXLYG\OAYQHBSO" ("\PRRFXLYG\OAYQHBSO")
Change component parameters (AddParameter): Name = "Applications"; Value = "GeneralPurpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10¶ÃF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Catalog Drawings"; Value = "xMKSeries_0805_0.85"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "09/2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "CeramicCapacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.t-yuden.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount,MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Online Catalog"; Value = "MSeries"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°„C~85°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Other Names"; Value = "587-1304-6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805(2012Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Digi-Reel?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCN Part Number"; Value = "X5R,X7RDielectrics23/Jan/2008"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.079"Lx0.049"W(2.00mmx1.25mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standard Package"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness (Max)"; Value = "0.037"(0.95mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "°¿10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "6.3V"; VariantName = "[No Variations]"
